Open,High,Low,Close,Volume,Date
27.4201,27.5627,27.3844,27.5092,313800,1994-01-30
27.4736,27.4736,27.3309,27.3666,303600,1994-01-31
27.4558,27.5449,27.4379,27.5449,307600,1994-02-01
27.4914,27.4914,27.3309,27.4201,466100,1994-02-02
27.4201,27.4558,26.7961,26.7961,1403200,1994-02-03
26.7248,26.9922,26.7248,26.9209,516400,1994-02-06
26.9744,26.9744,26.8317,26.9387,188200,1994-02-07
26.9566,27.0635,26.9209,27.0457,144600,1994-02-08
27.0279,27.0457,26.8139,26.8139,883900,1994-02-09
26.8317,26.9744,26.707,26.903,519400,1994-02-10
26.8496,27.0279,26.8139,26.9387,2742100,1994-02-13
26.9922,27.0992,26.9566,27.0813,374700,1994-02-14
27.117,27.117,27.01,27.0635,287600,1994-02-15
27.1883,27.2062,26.8317,26.903,342400,1994-02-16
26.9209,26.9387,26.6713,26.7426,313300,1994-02-17
26.8139,27.01,26.8139,27.01,154500,1994-02-21
27.0457,27.0635,26.8496,26.9387,391700,1994-02-22
26.8496,26.8496,26.5643,26.5821,770800,1994-02-23
26.6178,26.707,26.5643,26.707,531300,1994-02-24
26.7783,26.8496,26.707,26.707,333000,1994-02-27
26.707,26.7604,26.4574,26.6,423600,1994-02-28
26.2612,26.6356,26.1899,26.6356,581500,1994-03-01
26.6,26.6,26.493,26.5643,223200,1994-03-02
26.5643,26.707,26.4752,26.6356,595800,1994-03-03
26.7248,26.8139,26.7248,26.7783,539800,1994-03-06
26.7961,26.7961,26.6356,26.6713,880300,1994-03-07
26.707,26.8139,26.5821,26.7961,2500100,1994-03-08
26.7783,26.7783,26.493,26.5821,207400,1994-03-09
26.6178,26.7604,26.4752,26.7248,576600,1994-03-10
26.8317,26.8317,26.7248,26.7604,345900,1994-03-13
26.8139,26.8674,26.7248,26.7426,748600,1994-03-14
26.7783,26.9566,26.6891,26.9566,455500,1994-03-15
26.8674,26.9922,26.8674,26.9566,133000,1994-03-16
26.8252,26.9865,26.8072,26.9507,365500,1994-03-17
26.8611,26.9328,26.8072,26.879,324800,1994-03-20
26.879,27.0045,26.8252,26.9507,435700,1994-03-21
26.9328,26.9328,26.9328,26.9328,698500,1994-03-22
26.8252,26.879,26.4845,26.61,1200500,1994-03-23
26.6279,26.6996,26.359,26.359,100900,1994-03-24
26.3948,26.3948,26.3948,26.3948,1117200,1994-03-27
26.3948,26.4127,25.8748,25.8748,338400,1994-03-28
25.8928,25.9645,25.5162,25.5162,1123900,1994-03-29
25.5162,25.6417,24.9782,25.5879,788800,1994-03-30
24.8707,25.2651,24.8707,25.1934,2627300,1994-04-03
25.4445,25.7135,25.4445,25.7135,1179000,1994-04-04
25.7493,25.7672,25.5341,25.7135,516500,1994-04-05
25.6955,25.8928,25.552,25.8389,666100,1994-04-06
25.7852,25.7852,25.5162,25.6417,242400,1994-04-07
25.7135,25.8569,25.6507,25.7493,203300,1994-04-10
25.7762,25.821,25.6596,25.7135,1409200,1994-04-11
25.7044,25.7672,25.3907,25.579,364100,1994-04-12
25.5341,25.7224,25.4803,25.5879,419900,1994-04-13
25.579,25.58345,25.58345,25.5879,387300,1994-04-14
25.6148,25.6865,25.3369,25.4175,369100,1994-04-17
25.3907,25.552,25.2382,25.4534,472200,1994-04-18
25.4803,25.5431,25.2921,25.4266,508000,1994-04-19
25.5341,25.8031,25.4445,25.7672,200300,1994-04-20
25.83,25.8479,25.6686,25.7403,301800,1994-04-21
25.7314,26.0272,25.7314,26.0093,394600,1994-04-24
25.9734,26.0183,25.9286,25.9824,399000,1994-04-25
25.9286,25.9645,25.7135,25.7941,287000,1994-04-27
25.7493,25.9107,25.7135,25.8748,481900,1994-04-28
25.8748,26.2334,25.7852,26.0362,275000,1994-05-01
26.0452,26.0541,25.8569,26.0093,183400,1994-05-02
26.0631,26.0631,25.8659,25.9645,401900,1994-05-03
25.9913,26.0362,25.9286,25.9286,659800,1994-05-04
25.8031,25.8031,25.5879,25.6776,216300,1994-05-05
25.6059,25.6776,25.4086,25.4534,499300,1994-05-08
25.579,25.7314,25.561,25.6507,583400,1994-05-09
25.6238,25.6596,25.3458,25.4175,210600,1994-05-10
25.579,25.6059,25.4803,25.5431,305200,1994-05-11
25.6148,25.6148,25.4175,25.5431,321300,1994-05-12
25.5969,25.6776,25.5431,25.552,450400,1994-05-15
25.57,25.9286,25.5341,25.9286,470200,1994-05-16
25.9465,26.2155,25.83,26.1169,824800,1994-05-17
26.0631,26.3141,26.0631,26.2424,531000,1994-05-18
26.1976,26.2155,26.1079,26.1438,370400,1994-05-19
26.1169,26.1258,26.0183,26.0989,262700,1994-05-22
26.1707,26.3052,26.1707,26.2065,549600,1994-05-23
26.1079,26.2962,26.0183,26.2782,738200,1994-05-24
26.2693,26.359,26.2424,26.2962,369600,1994-05-25
26.2514,26.3231,26.2065,26.3231,162000,1994-05-26
26.2424,26.341,26.1976,26.2873,160000,1994-05-30
26.2245,26.4038,26.1438,26.4038,200500,1994-05-31
26.4217,26.4217,26.3321,26.3769,55100,1994-06-01
26.3948,26.619,26.3141,26.5293,550400,1994-06-02
26.5831,26.6638,26.5024,26.5203,99300,1994-06-05
26.4755,26.48,26.48,26.4845,120600,1994-06-06
26.5472,26.5472,26.2693,26.2693,131900,1994-06-07
26.3858,26.4127,26.3321,26.4127,80500,1994-06-08
26.4397,26.5114,26.4397,26.4576,83100,1994-06-09
26.4217,26.5024,26.4127,26.4934,109700,1994-06-12
26.5742,26.7086,26.5742,26.6996,161000,1994-06-13
26.7086,26.7176,26.5742,26.5921,142800,1994-06-14
26.5921,26.6638,26.5651,26.6459,44000,1994-06-15
26.6606,26.6876,26.462,26.4981,403800,1994-06-16
26.3086,26.3537,26.2454,26.2725,137400,1994-06-19
26.2544,26.2544,25.9385,26.0468,139200,1994-06-20
26.119,26.2364,26.0919,26.1461,279900,1994-06-21
26.1912,26.2273,25.9566,25.9927,922500,1994-06-22
25.8663,25.8663,25.4151,25.4512,353800,1994-06-23
25.5504,25.8934,25.4241,25.8934,371200,1994-06-26
25.9024,25.9024,25.5595,25.767,5382300,1994-06-27
25.8031,26.0017,25.7761,25.8483,311800,1994-06-28
25.8934,25.9024,25.5956,25.6858,271900,1994-06-29
25.8122,25.8122,25.6317,25.74,406900,1994-06-30
